timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
90,0.89,-0.12,0.62,21.1,1.3,-8.4
120,0.90,-0.05,0.37,7.1,2.1,-9.3
150,0.89,0.00,0.34,-14.2,-2.4,-12.7
150,0.87,-0.09,0.54,-11.0,-2.6,-13.2
181,0.87,-0.12,0.62,6.3,2.2,-10.0
181,0.91,-0.02,0.48,11.5,3.7,-9.7
210,0.89,-0.07,0.47,8.2,2.1,-13.7
240,0.87,-0.14,0.54,4.5,2.5,-13.9
240,0.87,-0.09,0.51,0.9,4.8,-13.4
270,0.84,-0.13,0.48,-1.0,5.7,-14.8
300,0.82,-0.19,0.54,-10.5,6.2,-15.1
300,0.83,-0.20,0.49,-12.7,9.2,-14.0
330,0.83,-0.22,0.41,7.6,9.8,-10.6
360,0.87,-0.23,0.39,10.4,8.5,-8.6
391,0.92,-0.24,0.44,2.8,9.2,-7.6
391,0.98,-0.22,0.37,-0.5,10.1,-7.3
420,0.98,-0.26,0.30,2.6,7.8,-6.9
451,0.94,-0.27,0.34,-2.3,6.3,-4.6
451,0.93,-0.14,0.34,-7.4,6.5,-4.6
480,0.98,-0.19,0.29,-9.4,5.6,-5.8
510,0.97,-0.18,0.29,4.9,1.6,-4.2
541,0.93,-0.16,0.36,15.7,-0.4,-3.7
542,0.89,-0.22,0.52,10.1,0.2,-4.6
570,0.88,-0.25,0.52,-3.8,3.7,-5.1
600,0.88,-0.27,0.43,-10.6,5.8,-3.8
601,0.87,-0.21,0.34,-4.8,4.2,-2.6
629,0.86,-0.20,0.37,1.4,2.6,-2.6
660,0.89,-0.25,0.38,-2.6,4.2,-0.9
691,0.91,-0.24,0.33,-3.1,3.9,-0.4
691,0.92,-0.24,0.33,-5.1,2.6,0.8
720,0.90,-0.19,0.32,-11.2,1.2,1.8
722,0.88,-0.19,0.31,-10.3,0.6,1.5
750,0.89,-0.21,0.31,-2.8,-0.9,1.8
781,0.92,-0.15,0.35,6.2,-2.3,3.4
782,0.92,-0.16,0.38,8.2,-2.9,2.7
810,0.92,-0.26,0.38,-0.5,-2.2,2.8
870,0.90,-0.15,0.36,6.3,-3.5,5.4
871,0.88,-0.11,0.42,28.4,-5.4,6.2
871,0.83,-0.09,0.56,27.2,-2.6,5.1
900,0.85,-0.07,0.54,2.3,2.3,2.8
959,0.92,-0.05,0.41,-8.2,3.5,-0.1
960,0.99,-0.08,0.40,12.9,1.2,-0.5
962,1.05,-0.08,0.52,56.1,0.2,-1.3
963,1.10,-0.06,0.52,57.9,2.0,-2.3
990,1.08,-0.14,0.40,40.3,2.9,-9.5
1021,0.98,-0.28,0.44,34.9,0.4,-7.6
1022,0.92,-0.04,0.54,41.0,1.8,-7.5
1050,0.93,0.10,0.57,40.8,3.9,-11.5
1080,0.94,-0.17,0.40,46.3,8.7,-21.4
1110,0.95,-0.32,0.36,22.4,8.2,-23.2
1110,1.04,-0.26,0.47,-21.5,7.9,-24.2
1140,1.11,-0.07,0.37,-14.4,10.4,-28.3
1142,1.14,-0.14,0.22,22.0,0.6,-32.7
1170,1.05,-0.36,0.77,33.4,2.9,-31.6
1200,1.02,-0.26,0.64,21.8,14.9,-32.5
1231,0.97,-0.34,0.21,14.6,9.6,-33.2
